2019-12-31,0,0,,
2020-01-01,0,0,,
2020-01-02,0,0,,
2020-01-03,0,0,,
2020-01-04,0,0,,
2020-01-05,0,0,,
2020-01-06,0,0,,
2020-01-07,0,0,,
2020-01-08,0,0,,
2020-01-09,0,0,,
2020-01-10,0,0,,
2020-01-11,0,0,,
2020-01-12,0,0,,
2020-01-13,0,0,,
2020-01-14,0,0,,
2020-01-15,0,0,,
2020-01-16,0,0,,
2020-01-17,0,0,,
2020-01-18,0,0,,
2020-01-19,0,0,,
2020-01-20,0,0,,
2020-01-21,0,0,,
2020-01-22,0,0,,
2020-01-23,0,0,,
2020-01-24,0,0,,
2020-01-25,0,0,,
2020-01-26,0,0,,
2020-01-27,0,0,,
2020-01-28,0,0,,
2020-01-29,0,0,,
2020-01-30,0,0,,
2020-01-31,0,0,,
2020-02-01,0,0,,
2020-02-02,0,0,,
2020-02-03,0,0,,
2020-02-04,0,0,,
2020-02-05,0,0,,
2020-02-06,0,0,,
2020-02-07,0,0,,
2020-02-08,0,0,,
2020-02-09,0,0,,
2020-02-10,0,0,,
2020-02-11,0,0,,
2020-02-12,0,0,,
2020-02-13,0,0,,
2020-02-14,0,0,,
2020-02-15,0,0,,
2020-02-16,0,0,,
2020-02-17,0,0,,
2020-02-18,0,0,,
2020-02-19,0,0,,
2020-02-20,0,0,,
2020-02-21,0,0,,
2020-02-22,0,0,,
2020-02-23,0,0,,
2020-02-24,0,0,,
2020-02-25,0,0,,
2020-02-26,0,0,,
2020-02-27,1,0,,
2020-02-28,1,0,,
2020-02-29,2,0,,
2020-03-01,3,0,,
2020-03-02,4,0,,
2020-03-03,5,0,,
2020-03-04,8,0,,
2020-03-05,10,0,,
2020-03-06,20,0,,
2020-03-07,23,0,,
2020-03-08,31,0,,
2020-03-09,38,0,,
2020-03-10,113,0,,
2020-03-11,264,0,,
2020-03-12,516,0,,
2020-03-13,676,0,,
2020-03-14,804,0,,
2020-03-15,827,0,,
2020-03-16,875,1,,
2020-03-17,932,1,7630.0,
2020-03-18,1024,4,,
2020-03-19,1115,4,8847.0,
2020-03-20,1151,6,11657.0,
2020-03-21,1255,9,12351.0,
2020-03-22,1326,13,12843.0,
2020-03-23,1395,13,13756.0,
2020-03-24,1460,24,,
2020-03-25,1591,32,14870.0,
2020-03-26,1724,34,15981.0,
2020-03-27,1877,41,17275.0,
2020-03-28,2046,52,18810.0,
2020-03-29,2201,65,20198.0,
2020-03-30,2395,72,21378.0,
2020-03-31,2577,77,23763.0,
2020-04-01,2860,90,26776.0,
2020-04-02,3107,104,29921.0,
2020-04-03,3386,123,34388.0,
2020-04-04,3757,139,39928.0,
2020-04-05,4077,161,43734.0,
2020-04-06,4369,179,46916.0,
2020-04-07,4681,187,51544.0,
2020-04-08,5071,203,57535.0,
2020-04-09,5402,218,62210.0,
2020-04-10,5635,237,64731.0,
2020-04-11,5819,247,67771.0,
2020-04-12,5996,260,70125.0,
2020-04-13,6174,273,72099.0,
2020-04-14,6318,285,73919.0,
2020-04-15,6511,299,77712.0,
2020-04-16,6681,309,82380.0,
2020-04-17,6879,321,87024.0,
2020-04-18,7073,336,91437.0,
2020-04-19,7242,346,94277.0,
2020-04-20,7384,355,96244.0,
2020-04-21,7515,364,100543.0,
2020-04-22,7695,370,108465.0,
2020-04-23,7912,384,116621.0,
2020-04-24,8073,394,125329.0,
2020-04-25,8210,403,136738.0,
2020-04-26,8445,418,146915.0,
2020-04-27,8575,422,155810.0,
2020-04-28,8698,427,,
2020-04-29,8851,434,180062.0,
2020-04-30,9008,443,193165.0,
2020-05-01,9158,452,206576.0,
2020-05-02,9311,460,221912.0,
2020-05-03,9407,475,233799.0,
2020-05-04,9523,484,244791.0,
2020-05-05,9670,493,257738.0,
2020-05-06,9821,503,270680.0,
2020-05-07,9983,506,,
